max_age,min_age,number,studio_ind,identi,loneliness,generation,segment,new1,new2
72,22,2,0.5,204,39.5,74.78,Cluster 5,14.5,50.0
84,71,2,0.8571428571428571,205,60.75,98.87,Cluster 4,54.25,85.71428571428571
52,52,2,0.3809523809523809,206,32.0,71.48,Cluster 5,32.0,38.09523809523809
72,32,3,0.7142857142857143,207,32.0,88.08000000000001,Cluster 3,12.0,71.42857142857143
70,70,1,0.3809523809523809,208,60.0,79.30000000000001,Cluster 1,60.0,38.09523809523809
72,42,2,0.4761904761904761,209,44.5,81.38,Cluster 5,29.5,47.61904761904761
83,83,1,0.5714285714285714,210,73.0,92.17,Cluster 1,73.0,57.14285714285714
81,81,1,0.5714285714285714,211,71.0,90.19,Cluster 1,71.0,57.14285714285714
81,73,2,0.2857142857142857,212,59.0,97.55,Cluster 1,55.0,28.57142857142857
54,12,3,0.8095238095238094,213,13.5,69.6,Cluster 2,-7.5,80.95238095238095
81,81,1,0.5714285714285714,214,71.0,90.19,Cluster 1,71.0,57.14285714285714
74,74,1,0.5714285714285714,215,64.0,83.26,Cluster 1,64.0,57.14285714285714
70,42,2,0.4761904761904761,216,43.0,80.06,Cluster 5,29.0,47.61904761904761
74,72,2,0.3809523809523809,217,53.5,92.60000000000001,Cluster 1,52.5,38.09523809523809
72,71,2,0.5714285714285714,218,51.75,90.95,Cluster 1,51.25,57.14285714285714
71,71,1,0.3809523809523809,219,61.0,80.28999999999999,Cluster 1,61.0,38.09523809523809
73,64,2,0.4761904761904761,220,50.75,89.3,Cluster 1,46.25,47.61904761904761
50,20,3,0.7142857142857143,221,12.5,69.6,Cluster 2,-2.5,71.42857142857143
60,60,2,0.7142857142857142,222,40.0,79.4,Cluster 4,40.0,71.42857142857142
71,71,1,0.5714285714285714,223,61.0,80.28999999999999,Cluster 1,61.0,57.14285714285714
53,22,3,0.7142857142857143,224,15.25,72.24000000000001,Cluster 2,-0.25,71.42857142857143
80,80,1,0.3809523809523809,225,70.0,89.2,Cluster 1,70.0,38.09523809523809
71,62,2,0.5714285714285714,226,48.75,87.32,Cluster 1,44.25,57.14285714285714
63,20,4,0.6904761904761905,227,12.25,88.18,Cluster 2,-9.25,69.04761904761905
82,71,2,0.5714285714285714,229,59.25,97.55000000000001,Cluster 1,53.75,57.14285714285714
71,61,2,0.4761904761904761,230,48.5,86.99000000000001,Cluster 1,43.5,47.61904761904761
80,80,1,0.5714285714285714,231,70.0,89.2,Cluster 1,70.0,57.14285714285714
83,81,2,0.4761904761904761,232,62.5,101.51,Cluster 1,61.5,47.61904761904761
73,73,1,0.3809523809523809,233,63.0,82.27,Cluster 1,63.0,38.09523809523809
63,34,4,0.7579365079365079,234,15.75,92.80000000000001,Cluster 2,1.25,75.79365079365078
64,62,2,0.5714285714285714,235,43.5,82.7,Cluster 5,42.5,57.14285714285714
62,31,3,0.5873015873015873,236,24.25,81.15,Cluster 3,8.75,58.730158730158735
