,age,area,total_number,segment0_number,segment1_number,segment2_number,segment3_number,inter,region,type,isolation,prob0,prob1,prob2,prob3
278,30,304,385,97,149,83,56,9120.0,ALL,ALL,ALL,0.2519480519480519,0.38701298701298703,0.21558441558441557,0.14545454545454545
279,35,304,372,99,134,82,57,10640.0,ALL,ALL,ALL,0.2661290322580645,0.3602150537634409,0.22043010752688172,0.1532258064516129
280,40,304,357,96,123,76,62,12160.0,ALL,ALL,ALL,0.2689075630252101,0.3445378151260504,0.21288515406162464,0.17366946778711484
281,45,304,313,89,104,65,55,13680.0,ALL,ALL,ALL,0.28434504792332266,0.33226837060702874,0.20766773162939298,0.1757188498402556
282,50,304,268,79,79,52,58,15200.0,ALL,ALL,ALL,0.2947761194029851,0.2947761194029851,0.19402985074626866,0.21641791044776118
283,55,304,199,59,58,38,44,16720.0,ALL,ALL,ALL,0.2964824120603015,0.2914572864321608,0.19095477386934673,0.22110552763819097
284,60,304,134,36,44,24,30,18240.0,ALL,ALL,ALL,0.26865671641791045,0.3283582089552239,0.1791044776119403,0.22388059701492538
285,65,304,104,26,36,19,23,19760.0,ALL,ALL,ALL,0.25,0.34615384615384615,0.18269230769230768,0.22115384615384615
286,70,304,71,21,24,10,16,21280.0,ALL,ALL,ALL,0.29577464788732394,0.3380281690140845,0.14084507042253522,0.22535211267605634
287,75,304,62,20,19,8,15,22800.0,ALL,ALL,ALL,0.3225806451612903,0.3064516129032258,0.12903225806451613,0.24193548387096775
288,80,304,52,16,15,8,13,24320.0,ALL,ALL,ALL,0.3076923076923077,0.28846153846153844,0.15384615384615385,0.25
289,85,304,49,12,12,9,16,25840.0,ALL,ALL,ALL,0.24489795918367346,0.24489795918367346,0.1836734693877551,0.32653061224489793
290,90,304,52,15,13,9,15,27360.0,ALL,ALL,ALL,0.28846153846153844,0.25,0.17307692307692307,0.28846153846153844
291,95,304,52,16,13,8,15,28880.0,ALL,ALL,ALL,0.3076923076923077,0.25,0.15384615384615385,0.28846153846153844
292,100,304,56,21,12,9,14,30400.0,ALL,ALL,ALL,0.375,0.21428571428571427,0.16071428571428573,0.25
