,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
2677,1,casa plurifamiliare,Poco isolata,50,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,4,2,8,0,689,0,0,0
2678,0,casa unifamiliare,Ben isolata,36,194,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,5,6,16,0,1089,0,0,0
2679,1,casa plurifamiliare,Abbastanza isolata,19,92,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,7,0,7,0,689,0,0,0
2680,1,appartamento in edificio piccolo,Abbastanza isolata,52,365,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,6,0,8,0,689,0,0,0
2681,0,casa unifamiliare,Abbastanza isolata,34,369,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,1089,0,0,0
2682,1,appartamento in edificio piccolo,Abbastanza isolata,29,94,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,4,0,4,0,689,0,0,0
2683,1,casa plurifamiliare,Ben isolata,31,259,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,3,0,6,0,1089,0,0,0
2684,0,appartamento in edificio medio,Ben isolata,46,45,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,8,1,17,0,289,0,0,0
2685,0,casa unifamiliare,Ben isolata,37,67,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,3,3,9,0,689,0,0,0
2686,2,casa unifamiliare,Abbastanza isolata,131,114,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,7,0,13,0,389,0,0,0
2687,0,casa plurifamiliare,Ben isolata,44,101,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,7,0,15,0,689,0,0,0
2688,2,casa unifamiliare,Non isolata,65,183,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,8,0,16,0,689,0,0,0
2689,1,appartamento in edificio piccolo,Poco isolata,41,63,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,7,0,7,0,589,0,0,0
2690,0,appartamento in edificio piccolo,Ben isolata,16,96,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,5,0,9,0,289,4,0,4
2691,1,appartamento in edificio piccolo,Poco isolata,30,95,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,1,8,0,589,0,0,0
2692,0,appartamento in edificio medio,Ben isolata,45,89,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,4,0,9,0,289,0,0,0
2693,1,casa unifamiliare,Ben isolata,139,120,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,0,6,12,0,1089,0,2,2
