,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8166,1,casa plurifamiliare,Abbastanza isolata,46,125,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,2,0,2,0,3563.5896,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8167,0,casa plurifamiliare,Abbastanza isolata,37,99,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,6,0,6,0,984.6384,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-0,HSDR_group64,Zero
8168,1,casa unifamiliare,Abbastanza isolata,35,135,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,7,0,7,0,2839.3682,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8169,1,casa unifamiliare,Abbastanza isolata,25,99,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,3,0,3,0,2119.3504,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8170,2,casa plurifamiliare,Abbastanza isolata,82,371,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,5,4,0,9,0,791.2944000000001,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8171,0,appartamento in edificio medio,Abbastanza isolata,51,137,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,0,0,0,0,1670.7657000000002,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Centr,Centrale-appartamento in edificio medio-0,HSDR_group63,Zero
8172,0,casa unifamiliare,Abbastanza isolata,42,136,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,0,6,0,2259.568,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8173,2,casa plurifamiliare,Abbastanza isolata,38,93,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,5,0,7,0,1479.2,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8174,2,appartamento in edificio medio,Abbastanza isolata,27,78,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,2,2,4,0,1126.9993,0,0,0,non_nord_est,primo,SC2,isI0,SR0,Centr,Centrale-appartamento in edificio medio-2,HSDR_group63,Zero
8175,0,casa unifamiliare,Abbastanza isolata,48,97,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,8,8,0,16,0,1569.6192,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
